protein,appearances,hits,max_score_hits
platelet-derived growth factor,15,4546,2
platelet-derived growth factor (PDGF) C,19,59,10
platelet-derived growth factor (PDGF) receptor,15,48,1
platelet-derived growth factor BB,2,4,2
pp120,165,2,1
pp42,26,2,1
pp54,26,0,0
pp60c-src,37,9,1
pp60src,68,0,0
pp60v-src,82,3,1
pp66,50,1,1
presenilin (PS) 1,12,1035,10
presenilin 1,38,1767,10
procollagen I,8,54,10
progesterone receptor,98,2134,1
prolactin,42,5702,1
proliferating-cell nuclear antigen,20,2422,1
protein kinase A,17,24017,1
protein kinase C,87,21911,10
protein phosphatase 1,24,48112,10
protein phosphatase inhibitor,7,7883,10
protein phosphatase inhibitor 2,7,2648,10
protein phosphatase type 1,12,6255,10
proximal sequence element (PSE)-binding transcription factor,33,0,0
rIL-10R,24,0,0
rMMP-1,30,0,0
rTIMP,60,0,0
rTIMP-1,30,0,0
raf-1,27,1727,1
raf1,10,541,1
ras,78,135274,1
receptor interacting protein,19,18149,1
recombinant human tissue inhibitor of metalloproteinases-1,30,0,0
renin,13,1736,1
replication factor 1a,8,26,10
retinoblastoma,148,3998,10
retinoblastoma protein,40,3943,3
retinoblastoma susceptibility gene,34,1,1
retinoblastoma tumor suppressor protein,19,21,1
retinoic X receptor,13,1287,1
retinol-binding protein,34,4007,6
rhodanese,108,7505,10
s-IL1R,69,1,1
sCAM,95,15,1
sE-selectin,38,0,0
sICAM-1,19,0,0
sIL-2R,78,0,0
sIL-6R,205,0,0
sVCAM-1,19,0,0
sem-5,79,12,1
senescence-associated beta-galactosidase,30,0,0
serine-threonine phosphatase 2A,17,15760,6
serine-threonine phosphatase 2A catalytic subunit,17,1851,6
serum response factor,42,1975,1
simian virus 40 T antigen,20,1044,2
soluble cell adhesion molecules,19,2,1
sorting nexin-1,11,1026,1
stromelysin-3,12,763,10
syndecan,18,3497,4
tapasin,22,1200,10
thrombopoietin,14,939,1
thyroid AKAP,8,1,1
tissue inhibitor of metalloproteinases-1,30,19,1
tonin,13,8,1
transcription factor IIB,56,3431,1
transcription factor IID,24,250,1
transferrin,66,3275,1
transferrin receptor,44,1889,1
transforming growth factor beta,14,11434,10
transforming growth factor-beta,52,11093,4
transforming growth factor-beta 1,19,5090,10
transforming growth factors (TGF) beta1,5,4,2
transporter associated with antigen processing,22,357,1
transthyretin,53,899,1
trk,21,1411,5
trkA,105,2927,10
trypsin,40,23419,3
tumor necrosis factor (TNF) receptor-1,17,154,1
tumor necrosis factor (TNF) type 2 receptor,19,1054,1
tumor necrosis factor alpha,20,7351,8
tumor necrosis factor receptor I,19,64,1
tumor necrosis factor-alpha,20,7343,3
tumour necrosis factor-alpha,35,7,1
tumour necrosis factors (TNF) alpha,5,8,8
type 1 protein phosphatase,12,6255,10
type I IL-1 receptor,23,63,1
type I interferon-receptor,9,168,10
type II cAMP-dependent protein kinase,28,1712,6
type IV collagen,18,3455,1
type-I IL1R,21,4,1
type-I interleukin-1 receptor,23,382,1
tyrosine hydroxylase,17,682,1
"tyrosine kinase, phosphatidylinositol 3-kinase",3,52,1
upstream binding factor,14,1049,1
utrophin,36,800,1
v-Fos,13,272,1
v-Raf,42,290,1
vascular endothelial growth factor,21,5387,4
vimentin,11,1462,1
viral protein 16,19,1024,10
vitamin D receptor,2,535,1
